#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 7.334733473347e+03   4.541873855795e+14   7.276884166330e-02  
 7.349234923492e+03   4.539162632991e+14   7.272540308505e-02  
 7.363736373637e+03   4.536448881254e+14   7.268192398881e-02  
 7.378237823782e+03   4.533732625018e+14   7.263840476607e-02  
 7.392739273927e+03   4.531013888024e+14   7.259484579722e-02  
 7.407240724072e+03   4.528292694412e+14   7.255124746900e-02  
 7.421742174217e+03   4.525569067997e+14   7.250761016297e-02  
 7.436243624362e+03   4.522843032449e+14   7.246393425840e-02  
 7.450745074507e+03   4.520114611299e+14   7.242022013225e-02  
 7.465246524652e+03   4.517383827933e+14   7.237646815924e-02  
 7.479747974797e+03   4.514650705598e+14   7.233267871181e-02  
 7.494249424942e+03   4.511915267403e+14   7.228885216020e-02  
 7.508750875088e+03   4.509177536499e+14   7.224498887537e-02  
 7.523252325233e+03   4.506437535352e+14   7.220108921722e-02  
 7.537753775378e+03   4.503695286839e+14   7.215715355230e-02  
 7.552255225523e+03   4.500950813519e+14   7.211318224204e-02  
 7.566756675668e+03   4.498204137817e+14   7.206917564573e-02  
 7.581258125813e+03   4.495455282025e+14   7.202513412052e-02  
 7.595759575958e+03   4.492704268299e+14   7.198105802141e-02  
 7.610261026103e+03   4.489951118667e+14   7.193694770130e-02  
 7.624762476248e+03   4.487195855023e+14   7.189280351100e-02  
 7.639263926393e+03   4.484438499135e+14   7.184862579923e-02  
 7.653765376538e+03   4.481679072637e+14   7.180441491265e-02  
 7.668266826683e+03   4.478917597037e+14   7.176017119585e-02  
 7.682768276828e+03   4.476154093718e+14   7.171589499138e-02  
 7.697269726973e+03   4.473388584123e+14   7.167158664285e-02  
 7.711771177118e+03   4.470621089003e+14   7.162724648268e-02  
 7.726272627263e+03   4.467851629549e+14   7.158287485043e-02  
 7.740774077408e+03   4.465080226643e+14   7.153847208063e-02  
 7.755275527553e+03   4.462306901041e+14   7.149403850584e-02  
 7.769776977698e+03   4.459531673377e+14   7.144957445668e-02  
 7.784278427843e+03   4.456754564167e+14   7.140508026182e-02  
 7.798779877988e+03   4.453975593803e+14   7.136055624797e-02  
 7.813281328133e+03   4.451194782558e+14   7.131600273998e-02  
 7.827782778278e+03   4.448412150588e+14   7.127142006073e-02  
 7.842284228423e+03   4.445627717928e+14   7.122680853126e-02  
 7.856785678568e+03   4.442841504498e+14   7.118216847072e-02  
 7.871287128713e+03   4.440053530100e+14   7.113750019636e-02  
 7.885788578858e+03   4.437263814422e+14   7.109280402361e-02  
 7.900290029003e+03   4.434472377233e+14   7.104808026920e-02  
 7.914791479148e+03   4.431679237599e+14   7.100332923865e-02  
 7.929292929293e+03   4.428884415060e+14   7.095855124497e-02  
 7.943794379438e+03   4.426087928849e+14   7.091374659631e-02  
 7.958295829583e+03   4.423289798084e+14   7.086891559901e-02  
 7.972797279728e+03   4.420490041775e+14   7.082405855762e-02  
 7.987298729873e+03   4.417688678822e+14   7.077917577495e-02  
 8.001800180018e+03   4.414885728012e+14   7.073426755200e-02  
 8.016301630163e+03   4.412081208225e+14   7.068933419129e-02  
 8.030803080308e+03   4.409275137639e+14   7.064437598402e-02  
 8.045304530453e+03   4.406467534913e+14   7.059939322917e-02  
 8.059805980598e+03   4.403658418406e+14   7.055438622087e-02  
 8.074307430743e+03   4.400847806369e+14   7.050935525155e-02  
 8.088808880888e+03   4.398035716950e+14   7.046430061195e-02  
 8.103310331033e+03   4.395222168190e+14   7.041922259112e-02  
 8.117811781178e+03   4.392407178026e+14   7.037412147647e-02  
 8.132313231323e+03   4.389590764294e+14   7.032899755374e-02  
 8.146814681468e+03   4.386772944726e+14   7.028385110703e-02  
 8.161316131613e+03   4.383953736950e+14   7.023868241879e-02  
 8.175817581758e+03   4.381133158498e+14   7.019349176988e-02  
 8.190319031903e+03   4.378311226796e+14   7.014827943952e-02  
 8.204820482048e+03   4.375487959374e+14   7.010304570858e-02  
 8.219321932193e+03   4.372663373061e+14   7.005779084667e-02  
 8.233823382338e+03   4.369837485187e+14   7.001251513144e-02  
 8.248324832483e+03   4.367010312783e+14   6.996721883577e-02  
 8.262826282628e+03   4.364181872784e+14   6.992190223102e-02  
 8.277327732773e+03   4.361352182030e+14   6.987656558694e-02  
 8.291829182918e+03   4.358521257262e+14   6.983120917177e-02  
 8.306330633063e+03   4.355689115331e+14   6.978583325551e-02  
 8.320832083208e+03   4.352855772587e+14   6.974043810012e-02  
 8.335333533353e+03   4.350021245283e+14   6.969502396596e-02  
 8.349834983498e+03   4.347185549985e+14   6.964959111848e-02  
 8.364336433643e+03   4.344348702963e+14   6.960413981836e-02  
 8.378837883788e+03   4.341510720397e+14   6.955867032481e-02  
 8.393339333933e+03   4.338671618372e+14   6.951318289554e-02  
 8.407840784078e+03   4.335831412884e+14   6.946767778686e-02  
 8.422342234223e+03   4.332990119837e+14   6.942215525355e-02  
 8.436843684368e+03   4.330147755045e+14   6.937661554901e-02  
 8.451345134513e+03   4.327304334442e+14   6.933105892850e-02  
 8.465846584658e+03   4.324459873249e+14   6.928548563591e-02  
 8.480348034803e+03   4.321614387220e+14   6.923989592362e-02  
 8.494849484948e+03   4.318767891814e+14   6.919429003934e-02  
 8.509350935094e+03   4.315920402403e+14   6.914866822934e-02  
 8.523852385239e+03   4.313071934273e+14   6.910303073853e-02  
 8.538353835384e+03   4.310222502622e+14   6.905737781042e-02  
 8.552855285529e+03   4.307372122565e+14   6.901170968717e-02  
 8.567356735674e+03   4.304520809130e+14   6.896602660955e-02  
 8.581858185819e+03   4.301668577261e+14   6.892032881699e-02  
 8.596359635964e+03   4.298815441817e+14   6.887461654757e-02  
 8.610861086109e+03   4.295961417574e+14   6.882889003803e-02  
 8.625362536254e+03   4.293106519227e+14   6.878314952379e-02  
 8.639863986399e+03   4.290250761385e+14   6.873739523892e-02  
 8.654365436544e+03   4.287394158793e+14   6.869162741966e-02  
 8.668866886689e+03   4.284536725469e+14   6.864584629062e-02  
 8.683368336834e+03   4.281678475994e+14   6.860005208538e-02  
 8.697869786979e+03   4.278819424652e+14   6.855424503283e-02  
 8.712371237124e+03   4.275959585650e+14   6.850842536057e-02  
 8.726872687269e+03   4.273098973329e+14   6.846259329836e-02  
 8.741374137414e+03   4.270237601307e+14   6.841674906443e-02  
 8.755875587559e+03   4.267375483769e+14   6.837089288599e-02  
 8.770377037704e+03   4.264512634602e+14   6.832502498558e-02  
 8.784878487849e+03   4.261649067623e+14   6.827914558453e-02  
 8.799379937994e+03   4.258784796565e+14   6.823325490291e-02  
 8.813881388139e+03   4.255919835090e+14   6.818735315958e-02  
 8.828382838284e+03   4.253054196780e+14   6.814144057217e-02  
 8.842884288429e+03   4.250187895144e+14   6.809551735709e-02  
 8.857385738574e+03   4.247320943614e+14   6.804958372957e-02  
 8.871887188719e+03   4.244453355548e+14   6.800363990362e-02  
 8.886388638864e+03   4.241585144230e+14   6.795768609207e-02  
 8.900890089009e+03   4.238716322869e+14   6.791172250656e-02  
 8.915391539154e+03   4.235846904603e+14   6.786574935756e-02  
 8.929892989299e+03   4.232976902494e+14   6.781976685438e-02  
 8.944394439444e+03   4.230106329534e+14   6.777377520515e-02  
 8.958895889589e+03   4.227235198641e+14   6.772777461685e-02  
 8.973397339734e+03   4.224363522663e+14   6.768176529533e-02  
 8.987898789879e+03   4.221491314377e+14   6.763574744529e-02  
 9.002400240024e+03   4.218618586487e+14   6.758972127027e-02  
 9.016901690169e+03   4.215745351628e+14   6.754368697273e-02  
 9.031403140314e+03   4.212871622367e+14   6.749764475397e-02  
 9.045904590459e+03   4.209997411419e+14   6.745159481777e-02  
 9.060406040604e+03   4.207122730771e+14   6.740553735612e-02  
 9.074907490749e+03   4.204247593000e+14   6.735947257055e-02  
 9.089408940894e+03   4.201372010395e+14   6.731340065797e-02  
 9.103910391039e+03   4.198495995179e+14   6.726732181418e-02  
 9.118411841184e+03   4.195619559505e+14   6.722123623393e-02  
 9.132913291329e+03   4.192742715462e+14   6.717514411086e-02  
 9.147414741474e+03   4.189865475295e+14   6.712904564121e-02  
 9.161916191619e+03   4.186987850510e+14   6.708294100929e-02  
 9.176417641764e+03   4.184109853218e+14   6.703683040916e-02  
 9.190919091909e+03   4.181231495244e+14   6.699071403024e-02  
 9.205420542054e+03   4.178352788344e+14   6.694459206094e-02  
 9.219921992199e+03   4.175473744213e+14   6.689846468858e-02  
 9.234423442344e+03   4.172594374479e+14   6.685233209950e-02  
 9.248924892489e+03   4.169714690708e+14   6.680619447898e-02  
 9.263426342634e+03   4.166834704400e+14   6.676005201130e-02  
 9.277927792779e+03   4.163954426995e+14   6.671390487972e-02  
 9.292429242924e+03   4.161073869868e+14   6.666775326650e-02  
 9.306930693069e+03   4.158193044332e+14   6.662159735290e-02  
 9.321432143214e+03   4.155311961637e+14   6.657543731916e-02  
 9.335933593359e+03   4.152430632975e+14   6.652927334458e-02  
 9.350435043504e+03   4.149549069471e+14   6.648310560742e-02  
 9.364936493649e+03   4.146667282193e+14   6.643693428502e-02  
 9.379437943794e+03   4.143785282148e+14   6.639075955370e-02  
 9.393939393939e+03   4.140903080281e+14   6.634458158885e-02  
 9.408440844084e+03   4.138020687711e+14   6.629840056859e-02  
 9.422942294229e+03   4.135138114802e+14   6.625221665899e-02  
 9.437443744374e+03   4.132255372551e+14   6.620603003622e-02  
 9.451945194519e+03   4.129372471899e+14   6.615984087559e-02  
 9.466446644664e+03   4.126489423033e+14   6.611364934031e-02  
 9.480948094809e+03   4.123606236774e+14   6.606745560376e-02  
 9.495449544954e+03   4.120722923656e+14   6.602125983470e-02  
 9.509950995100e+03   4.117839494156e+14   6.597506220099e-02  
 9.524452445245e+03   4.114955958928e+14   6.592886287333e-02  
 9.538953895390e+03   4.112072327863e+14   6.588266201021e-02  
 9.553455345535e+03   4.109188611503e+14   6.583645978048e-02  
 9.567956795680e+03   4.106304820331e+14   6.579025635216e-02  
 9.582458245825e+03   4.103420964070e+14   6.574405188099e-02  
 9.596959695970e+03   4.100537053092e+14   6.569784653315e-02  
 9.611461146115e+03   4.097653097479e+14   6.565164047019e-02  
 9.625962596260e+03   4.094769107259e+14   6.560543385275e-02  
 9.640464046405e+03   4.091885092403e+14   6.555922684061e-02  
 9.654965496550e+03   4.089001062830e+14   6.551301959268e-02  
 9.669466946695e+03   4.086117028405e+14   6.546681226700e-02  
 9.683968396840e+03   4.083232998938e+14   6.542060502076e-02  
 9.698469846985e+03   4.080348984185e+14   6.537439801027e-02  
 9.712971297130e+03   4.077464993851e+14   6.532819139101e-02  
 9.727472747275e+03   4.074581037586e+14   6.528198531760e-02  
 9.741974197420e+03   4.071697124989e+14   6.523577994383e-02  
 9.756475647565e+03   4.068813265607e+14   6.518957542264e-02  
 9.770977097710e+03   4.065929468933e+14   6.514337190616e-02  
 9.785478547855e+03   4.063045744410e+14   6.509716954567e-02  
 9.799979998000e+03   4.060162101429e+14   6.505096849163e-02  
 9.814481448145e+03   4.057278549332e+14   6.500476889368e-02  
 9.828982898290e+03   4.054395097406e+14   6.495857090068e-02  
 9.843484348435e+03   4.051511754891e+14   6.491237466063e-02  
 9.857985798580e+03   4.048628531218e+14   6.486618032464e-02  
 9.872487248725e+03   4.045745435043e+14   6.481998803139e-02  
 9.886988698870e+03   4.042862475696e+14   6.477379793035e-02  
 9.901490149015e+03   4.039979662215e+14   6.472761016637e-02  
 9.915991599160e+03   4.037097003592e+14   6.468142488346e-02  
 9.930493049305e+03   4.034214508768e+14   6.463524222492e-02  
 9.944994499450e+03   4.031332186637e+14   6.458906233322e-02  
 9.959495949595e+03   4.028450046043e+14   6.454288535006e-02  
 9.973997399740e+03   4.025568095782e+14   6.449671141639e-02  
 9.988498849885e+03   4.022686344605e+14   6.445054067238e-02  
 1.000300030003e+04   4.019804801213e+14   6.440437325744e-02  
 1.001750175018e+04   4.016923474259e+14   6.435820931024e-02  
 1.003200320032e+04   4.014042372599e+14   6.431204897264e-02  
 1.004650465047e+04   4.011161504300e+14   6.426589237390e-02  
 1.006100610061e+04   4.008280878123e+14   6.421973965437e-02  
 1.007550755076e+04   4.005400502534e+14   6.417359094972e-02  
 1.009000900090e+04   4.002520385956e+14   6.412744639487e-02  
 1.010451045105e+04   3.999640536765e+14   6.408130612404e-02  
 1.011901190119e+04   3.996760963541e+14   6.403517027469e-02  
 1.013351335134e+04   3.993881674074e+14   6.398903897162e-02  
 1.014801480148e+04   3.991002676850e+14   6.394291235081e-02  
 1.016251625163e+04   3.988123980067e+14   6.389679054358e-02  
 1.017701770177e+04   3.985245591874e+14   6.385067368053e-02  
 1.019151915192e+04   3.982367520381e+14   6.380456189155e-02  
 1.020602060206e+04   3.979489773649e+14   6.375845530583e-02  
 1.022052205221e+04   3.976612359699e+14   6.371235405185e-02  
 1.023502350235e+04   3.973735286506e+14   6.366625825741e-02  
 1.024952495250e+04   3.970858562003e+14   6.362016804960e-02  
 1.026402640264e+04   3.967982194079e+14   6.357408355482e-02  
 1.027852785279e+04   3.965106191091e+14   6.352800490695e-02  
 1.029302930293e+04   3.962230559829e+14   6.348193221480e-02  
 1.030753075308e+04   3.959355308561e+14   6.343586561080e-02  
 1.032203220322e+04   3.956480445004e+14   6.338980521864e-02  
 1.033653365337e+04   3.953605976838e+14   6.334375116133e-02  
 1.035103510351e+04   3.950731911699e+14   6.329770356122e-02  
 1.036553655366e+04   3.947858257181e+14   6.325166254000e-02  
 1.038003800380e+04   3.944985020839e+14   6.320562821868e-02  
 1.039453945395e+04   3.942112210183e+14   6.315960071762e-02  
 1.040904090409e+04   3.939239832688e+14   6.311358015655e-02  
 1.042354235424e+04   3.936367895783e+14   6.306756665451e-02  
 1.043804380438e+04   3.933496406860e+14   6.302156032994e-02  
 1.045254525453e+04   3.930625373269e+14   6.297556130059e-02  
 1.046704670467e+04   3.927754802321e+14   6.292956968361e-02  
 1.048154815482e+04   3.924884701288e+14   6.288358559548e-02  
 1.049604960496e+04   3.922015077401e+14   6.283760915208e-02  
 1.051055105511e+04   3.919145937853e+14   6.279164046864e-02  
 1.052505250525e+04   3.916277289796e+14   6.274567965976e-02  
 1.053955395540e+04   3.913409140345e+14   6.269972683944e-02  
 1.055405540554e+04   3.910541496577e+14   6.265378212103e-02  
 1.056855685569e+04   3.907674365528e+14   6.260784561730e-02  
 1.058305830583e+04   3.904807754198e+14   6.256191744037e-02  
 1.059755975598e+04   3.901941669547e+14   6.251599770179e-02  
 1.061206120612e+04   3.899076118499e+14   6.247008651246e-02  
 1.062656265627e+04   3.896211107939e+14   6.242418398270e-02  
 1.064106410641e+04   3.893346644715e+14   6.237829022225e-02  
 1.065556555656e+04   3.890482735640e+14   6.233240534022e-02  
 1.067006700670e+04   3.887619387484e+14   6.228652944513e-02  
 1.068456845685e+04   3.884756606988e+14   6.224066264493e-02  
 1.069906990699e+04   3.881894400849e+14   6.219480504696e-02  
 1.071357135714e+04   3.879032775733e+14   6.214895675799e-02  
 1.072807280728e+04   3.876171738266e+14   6.210311788421e-02  
 1.074257425743e+04   3.873311295305e+14   6.205728853546e-02  
 1.075707570757e+04   3.870451452878e+14   6.201146880832e-02  
 1.077157715772e+04   3.867592217768e+14   6.196565881148e-02  
 1.078607860786e+04   3.864733596458e+14   6.191985864880e-02  
 1.080058005801e+04   3.861875595665e+14   6.187406842789e-02  
 1.081508150815e+04   3.859018221271e+14   6.182828824301e-02  
 1.082958295830e+04   3.856161479919e+14   6.178251820057e-02  
 1.084408440844e+04   3.853305377953e+14   6.173675840223e-02  
 1.085858585859e+04   3.850449921683e+14   6.169100894908e-02  
 1.087308730873e+04   3.847595117383e+14   6.164526994164e-02  
 1.088758875888e+04   3.844740971295e+14   6.159954147991e-02  
 1.090209020902e+04   3.841887489624e+14   6.155382366333e-02  
 1.091659165917e+04   3.839034678544e+14   6.150811659079e-02  
 1.093109310931e+04   3.836182544194e+14   6.146242036066e-02  
 1.094559455946e+04   3.833331092678e+14   6.141673507075e-02  
 1.096009600960e+04   3.830480330069e+14   6.137106081834e-02  
 1.097459745975e+04   3.827630262406e+14   6.132539770019e-02  
 1.098909890989e+04   3.824780895695e+14   6.127974581253e-02  
 1.100360036004e+04   3.821932235909e+14   6.123410525104e-02  
 1.101810181018e+04   3.819084288987e+14   6.118847611091e-02  
 1.103260326033e+04   3.816237060837e+14   6.114285848678e-02  
 1.104710471047e+04   3.813390557335e+14   6.109725247278e-02  
 1.106160616062e+04   3.810544784324e+14   6.105165816254e-02  
 1.107610761076e+04   3.807699747615e+14   6.100607564916e-02  
 1.109060906091e+04   3.804855452987e+14   6.096050502523e-02  
 1.110511051105e+04   3.802011906187e+14   6.091494638283e-02  
 1.111961196120e+04   3.799169112933e+14   6.086939981356e-02  
 1.113411341134e+04   3.796327078908e+14   6.082386540847e-02  
 1.114861486149e+04   3.793485809765e+14   6.077834325816e-02  
 1.116311631163e+04   3.790645311127e+14   6.073283345270e-02  
 1.117761776178e+04   3.787805588586e+14   6.068733608167e-02  
 1.119211921192e+04   3.784966647701e+14   6.064185123416e-02  
 1.120662066207e+04   3.782128494004e+14   6.059637899879e-02  
 1.122112211221e+04   3.779291132993e+14   6.055091946365e-02  
